signal_date,trade_date,action,sector,from_sector,to_sector,rs20,score,reason,target_weight,nav_at_open,cycle_return,losing_cycle_streak
2023-09-15,2023-09-18,SELL,商业航天,商业航天,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,2367391.3306178786,-0.04584052505494596,1.0
2023-11-06,2023-11-07,BUY,光学光电子,,光学光电子,1.1464700932696528,1.1464700932696528,ENTRY_TOP1,1.0,2367391.3306178786,,
2023-11-15,2023-11-16,SELL,光学光电子,光学光电子,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,2318032.2926377407,-0.02084954749211465,2.0
2023-11-21,2023-11-22,BUY,智能驾驶,,智能驾驶,1.1936264395843492,1.1936264395843492,ENTRY_TOP1,1.0,2318032.2926377407,,
2023-11-22,2023-11-23,SELL,智能驾驶,智能驾驶,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,2278789.115766868,-0.01692952121310487,3.0
2023-12-29,2024-01-02,BUY,消费电子,,消费电子,1.1042140394630677,1.1042140394630677,ENTRY_TOP1,1.0,2278789.115766868,,
2024-01-04,2024-01-05,SELL,消费电子,消费电子,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,2155306.643306992,-0.05418775770232742,4.0
2024-02-19,2024-02-20,BUY,CPO,,CPO,1.496333645363515,1.496333645363515,ENTRY_TOP1,1.0,2155306.643306992,,
2024-02-27,2024-02-28,SELL,CPO,CPO,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,2262256.286439716,0.04962154386005402,0.0
2024-02-28,2024-02-29,BUY,CPO,,CPO,1.2056661903642207,1.2056661903642207,ENTRY_TOP1,1.0,2262256.286439716,,
2024-03-12,2024-03-13,SWITCH,液冷,CPO,液冷,1.7152975807193445,1.7152975807193445,STRONGER_RS20_MARGIN_4%,1.0,2729148.350755119,,
2024-03-22,2024-03-25,SELL,液冷,液冷,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,2727595.3132945388,0.20569686540120613,0.0
2024-04-01,2024-04-02,BUY,低空经济,,低空经济,1.2745801898272087,1.2745801898272087,ENTRY_TOP1,1.0,2727595.3132945388,,
2024-04-12,2024-04-15,SWITCH,黄金概念,低空经济,黄金概念,1.3080621184805643,1.3080621184805643,STRONGER_RS20_MARGIN_4%,1.0,2570779.5840469697,,
2024-04-16,2024-04-17,SELL,黄金概念,黄金概念,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,2506847.186636833,-0.08093140708292024,1.0
